original_field,original_value,translated_field,translated_value
Text,"11,14",,
Text,"13,64",,
Text,"12,08",,
Text,"8,84",,
Text,"10,43",,
Text,"8,63",,
Text,"8,76",,
Text,"9,36",,
Text,"8,70",,
Text,"8,15",,
Text,"9,98",,
Text,"7,71",,
Text,"7,37",,
Text,"8,39",,
Text,"7,91",,
Text,"9,60",,
Text,"13,71",,
Text,"9,90",,
Text,"10,78",,
Text,"9,87",,
Text,"9,69",,
Text,"7,83",,
Text,"7,47",,
Text,"7,64",,
Text,"7,32",,
Text,"9,72",,
Text,"11,37",,
Text,"7,22",,
Text,"9,91",,
Text,"8,35",,
Text,"7,75",,
Text,"7,95",,
Text,"8,71",,
Text,"10,90",,
Text,"10,29",,
Text,"9,97",,
Text,"9,86",,
Text,"10,22",,
Text,"9,23",,
Text,"9,53",,
Text,"11,88",,
Text,"8,42",,
Text,"11,25",,
Text,"7,78",,
Text,"14,17",,
Text,"12,69",,
Text,"12,56",,
Text,"14,10",,
Text,"13,51",,
Text,"11,46",,
Text,"12,04",,
Text,"14,08",,
Text,"14,00",,
Text,"10,87",,
Text,"10,17",,
Text,"11,86",,
Text,"14,20",,
Text,"14,07",,
Text,"14,12",,
Text,"14,18",,
Text,"14,15",,
Text,"14,23",,
Text,"14,42",,
Text,"14,39",,
Text,"14,46",,
Text,"14,45",,
Text,"11,16",,
Text,"9,30",,
Text,"8,95",,
Text,"8,88",,
Text,"8,77",,
Text,"10,00",,
Text,"9,75",,
Text,"10,53",,
Text,"10,71",,
Text,"9,11",,
Text,"16,66",,
Text,"14,83",,
Text,"9,05",,
Text,"13,19",,
Text,"9,21",,
Text,"11,83",,
Text,"10,33",,
Text,"9,47",,
Text,"11,24",,
Text,"9,56",,
Text,"9,37",,
Text,"8,49",,
Text,"7,61",,
Text,"11,50",,
Text,"10,28",,
Text,"15,01",,
Text,"8,82",,
Text,"8,74",,
Text,"8,79",,
Text,"7,73",,
Text,"9,61",,
Text,"11,05",,
Text,"7,65",,
Text,"10,48",,
Text,"8,11",,
Text,"9,22",,
Text,"8,65",,
Text,"8,47",,
Text,"13,40",,
Text,"13,97",,
Text,"13,06",,
Text,"9,31",,
Text,"11,78",,
Text,"12,18",,
Text,"13,36",,
Text,"13,09",,
Text,"10,64",,
Text,"11,47",,
Text,"9,20",,
Text,"13,50",,
Text,"12,68",,
Text,"10,44",,
Text,"9,62",,
Text,"14,36",,
Text,"12,31",,
Text,"12,11",,
Text,"10,13",,
Text,"8,69",,
Text,"8,20",,
Text,"11,44",,
Text,"11,77",,
Text,"12,75",,
Text,"12,34",,
Text,"11,91",,
Text,"11,74",,
Text,"12,99",,
Text,"10,59",,
Text,"10,23",,
Text,"10,62",,
Text,"10,09",,
Text,"10,15",,
Text,"9,84",,
Text,"11,08",,
Text,"10,60",,
Text,"10,85",,
Text,"13,32",,
Text,"13,24",,
Text,"13,03",,
Text,"13,30",,
Text,"13,96",,
Text,"12,71",,
Text,"10,79",,
Text,"10,46",,
Text,"13,17",,
Text,"3,84",,
Text,"9,78",,
Text,"12,45",,
Text,"10,30",,
Text,"10,01",,
Text,"8,32",,
Text,"7,87",,
Text,"7,55",,
Text,"7,82",,
Text,"7,86",,
Text,"7,51",,
Text,"9,88",,
Text,"9,51",,
Text,"8,68",,
Text,"7,63",,
Text,"8,36",,
Text,"7,81",,
Text,"7,09",,
Text,"7,80",,
Text,"6,49",,
Text,"7,13",,
Text,"7,19",,
Text,"6,66",,
Text,"6,59",,
Text,"7,14",,
Text,"6,78",,
Text,"7,11",,
Text,"7,12",,
Text,"6,81",,
Text,"6,61",,
Text,"6,67",,
Text,"7,49",,
Text,"9,29",,
Text,"9,76",,
Text,"11,06",,
Text,"11,39",,
Text,"11,65",,
Text,"12,86",,
Text,"12,78",,
Text,"7,77",,
Text,"7,36",,
Text,"9,18",,
Text,"10,34",,
Text,"7,24",,
Text,"5,13",,
Text,"14,59",,
Text,"14,62",,
Text,"14,54",,
Text,"14,52",,
Text,"14,30",,
Text,"14,16",,
Text,"14,50",,
Text,"14,47",,
Text,"14,40",,
Text,"14,49",,
Text,"14,55",,
Text,"14,33",,
Text,"14,71",,
Text,"14,68",,
Text,"14,65",,
Text,"9,67",,
Text,"7,74",,
Text,"6,18",,
Text,"7,69",,
Text,"7,70",,
Text,"8,98",,
Text,"9,34",,
Text,"9,81",,
Text,"7,62",,
Text,"6,40",,
Text,"6,46",,
Text,"6,51",,
Text,"6,94",,
Text,"6,69",,
Text,"7,38",,
Text,"6,80",,
Text,"5,76",,
Text,"6,90",,
Text,"7,60",,
Text,"5,75",,
Text,"6,86",,
Text,"7,53",,
Text,"7,18",,
Text,"7,21",,
Text,"6,91",,
Text,"6,77",,
Text,"6,02",,
Text,"6,95",,
Text,"6,99",,
Text,"7,15",,
Text,"7,57",,
Text,"10,57",,
Text,"9,85",,
Text,"8,93",,
Text,"10,06",,
Text,"10,20",,
Text,"13,93",,
Text,"12,80",,
Text,"11,89",,
Text,"3,85",,
Text,"11,87",,
Text,"9,49",,
Text,"10,02",,
Text,"13,34",,
Text,"11,68",,
Text,"13,10",,
Text,"13,21",,
Text,"12,40",,
Text,"12,74",,
Text,"12,06",,
Text,"12,67",,
Text,"13,08",,
Text,"10,94",,
Text,"11,97",,
Text,"11,48",,
Text,"11,20",,
Text,"6,05",,
Text,"3,87",,
Text,"10,38",,
Text,"10,42",,
Text,"13,33",,
Text,"13,26",,
Text,"9,89",,
Text,"10,55",,
Text,"7,89",,
Text,"10,10",,
Text,"8,14",,
Text,"4,96",,
Text,"6,28",,
Text,"5,96",,
Text,"5,58",,
Text,"7,08",,
Text,"6,97",,
Text,"7,52",,
Text,"7,20",,
Text,"7,10",,
Text,"7,26",,
Text,"7,16",,
Text,"12,43",,
Text,"13,14",,
Text,"13,05",,
Text,"10,54",,
Text,"10,21",,
Text,"9,02",,
Text,"11,81",,
Text,"9,80",,
Text,"12,26",,
Text,"14,57",,
Text,"7,66",,
Text,"8,89",,
Text,"8,60",,
Text,"6,42",,
Text,"12,73",,
Text,"12,05",,
Text,"13,31",,
Text,"7,68",,
Text,"11,80",,
Text,"11,93",,
Text,"11,92",,
Text,"3,83",,
Text,"3,81",,
Text,"3,82",,
Text,"3,86",,
Text,"3,80",,
Text,"6,68",,
Text,"11,10",,
Text,"7,72",,
Text,"4,99",,
Text,"5,70",,
Text,"5,72",,
Text,"7,02",,
Text,"6,79",,
Text,"8,86",,
Text,"14,69",,
Text,"14,53",,
Text,"14,35",,
Text,"14,72",,
Text,"14,56",,
Text,"14,58",,
Text,"14,63",,
Text,"14,38",,
Text,"14,37",,
Text,"14,64",,
Text,"14,60",,
Text,"14,67",,
Text,"14,66",,
Text,"11,94",,
Text,"11,35",,
Text,"13,15",,
Text,"10,69",,
Text,"5,37",,
Text,"6,32",,
Text,"11,36",,
Text,"13,25",,
Text,"13,16",,
Text,"6,64",,
Text,"11,13",,
Text,"10,03",,
Text,"12,28",,
Text,"5,90",,
Text,"5,78",,
Text,"5,84",,
Text,"7,04",,
Text,"6,92",,
Text,"9,42",,
Text,"13,18",,
Text,"6,84",,
Text,"11,95",,
Text,"11,45",,
Text,"10,93",,
Text,"12,03",,
Text,"12,14",,
Text,"12,91",,
Text,"12,02",,
Text,"11,41",,
Text,"13,13",,
Text,"11,82",,
Text,"11,15",,
Text,"10,77",,
Text,"11,42",,
Text,"12,16",,
Text,"13,63",,
Text,"10,39",,
Text,"3,0",,
Text,"5,60",,
Text,"6,70",,
Text,"7,05",,
Text,"6,63",,
Text,"7,00",,
Text,"11,33",,
Text,"10,52",,
Text,"10,61",,
Text,"8,94",,
Text,"5,62",,
Text,"5,41",,
Text,"6,83",,
Text,"5,73",,
Text,"6,54",,
Text,"9,83",,
Text,"6,41",,
Text,"6,24",,
Text,"6,45",,
Text,"6,30",,
Text,"6,44",,
Text,"6,74",,
Text,"6,72",,
Text,"10,26",,
Text,"10,58",,
Text,"9,96",,
Text,"10,18",,
Text,"10,04",,
Text,"6,88",,
Text,"6,17",,
Text,"6,89",,
Text,"6,93",,
Text,"10,25",,
Text,"6,01",,
Text,"6,98",,
Text,"6,71",,
Text,"6,65",,
Text,"6,31",,
Text,"6,96",,
Text,"9,82",,
Text,"6,27",,
Text,"6,75",,
Text,"6,62",,
Text,"6,57",,
Text,"7,06",,
Text,"6,08",,
Text,"6,37",,
Text,"6,35",,
Text,"6,38",,
Text,"6,47",,
Text,"6,55",,
Text,"4,85",,
Text,"6,12",,
Text,"6,85",,
Text,"5,07",,
Text,"6,21",,
Text,"7,01",,
Text,"6,25",,
Text,"6,20",,
Text,"7,03",,
Text,"6,76",,
Text,"7,07",,
Text,"6,50",,
Text,"6,82",,
Text,"6,39",,
Text,"6,33",,
Text,"6,29",,
Text,"6,58",,
Text,"6,43",,
Text,"6,52",,
Text,"6,56",,
Text,"6,36",,
Text,"5,99",,
Text,"6,60",,
Text,"6,73",,
Text,"6,11",,
Text,"12,88",,
Text,"6,53",,
Text,"6,06",,
Text,"6,48",,
Text,"4,83",,
Text,"4,94",,
Text,"13,57",,
Text,"6,03",,
Text,"6,23",,
Text,"5,92",,
Text,"5,30",,
Text,"5,06",,
Text,"5,79",,
Text,"5,56",,
Text,"5,50",,
Text,"5,15",,
Text,"5,32",,
Text,"5,66",,
Text,"6,34",,
Text,"5,94",,
Text,"6,00",,
Text,"6,19",,
Text,"5,86",,
Text,"5,93",,
Text,"6,10",,
Text,"5,04",,
Text,"5,43",,
Text,"6,14",,
Text,"6,15",,
Text,"5,95",,
Text,"6,16",,
Text,"5,54",,
Text,"6,22",,
Text,"5,49",,
Text,"5,33",,
Text,"5,36",,
Text,"5,67",,
Text,"5,77",,
Text,"6,09",,
Text,"11,29",,
Text,"5,21",,
Text,"5,34",,
Text,"5,89",,
Text,"5,82",,
Text,"5,68",,
Text,"5,05",,
Text,"5,52",,
Text,"5,24",,
Text,"5,55",,
Text,"4,95",,
Text,"3,90",,
Text,"5,44",,
Text,"5,71",,
Text,"5,97",,
Text,"5,12",,
Text,"5,45",,
Text,"5,26",,
Text,"5,47",,
Text,"5,40",,
Text,"5,91",,
Text,"5,63",,
Text,"5,39",,
Text,"5,88",,
Text,"5,48",,
Text,"5,83",,
Text,"5,87",,
Text,"4,87",,
Text,"6,26",,
Text,"2,88",,
Text,"4,90",,
Text,"4,80",,
Text,"5,23",,
Text,"5,38",,
Text,"5,31",,
Text,"5,28",,
Text,"5,03",,
Text,"4,76",,
Text,"4,65",,
Text,"4,93",,
Text,"5,85",,
Text,"6,13",,
Text,"6,07",,
Text,"10,40",,
Text,"0,97",,
Text,"1,10",,
Text,"10,47",,
Text,"5,14",,
Text,"0,91",,
Text,"3,61",,
Text,"9,95",,
Text,"9,92",,
Text,"4,01",,
Text,"5,98",,
Text,"5,46",,
Text,"12,70",,
Text,"14,74",,
Text,"14,43",,
Text,"11,53",,
Text,"11,62",,
Text,"12,76",,
Text,"13,04",,
Text,"5,25",,
Text,"11,19",,
Text,"10,36",,
Text,"10,88",,
Text,"11,01",,
Text,"13,48",,
Text,"12,51",,
Text,"12,84",,
Text,"14,75",,
Text,"11,49",,
Text,"3,33",,
Text,"4,67",,
Text,"4,62",,
Text,"11,30",,
Text,"3,42",,
Text,"11,04",,
Text,"11,75",,
Text,"11,98",,
Text,"10,49",,
Text,"10,72",,
Text,"11,02",,
Text,"11,21",,
Text,"11,18",,
Text,"12,38",,
Text,"12,63",,
Text,"11,76",,
Text,"12,48",,
Text,"10,92",,
Text,"11,99",,
Text,"12,12",,
Text,"12,85",,
Text,"12,33",,
Text,"12,15",,
Text,"12,17",,
Text,"11,66",,
Text,"11,70",,
Text,"11,61",,
Text,"12,32",,
Text,"10,95",,
Text,"12,01",,
Text,"12,97",,
Text,"12,62",,
Text,"12,79",,
Text,"12,92",,
Text,"11,79",,
Text,"12,21",,
Text,"12,22",,
Text,"12,95",,
Text,"14,29",,
Text,"14,19",,
Text,"4,68",,
Text,"4,78",,
Text,"11,90",,
Text,"13,52",,
Text,"11,69",,
Text,"12,46",,
Text,"12,00",,
Text,"10,74",,
Text,"11,03",,
Text,"11,58",,
Text,"11,84",,
Text,"10,89",,
Text,"6,04",,
Text,"11,72",,
Text,"12,54",,
Text,"13,20",,
Text,"12,59",,
Text,"13,39",,
Text,"11,59",,
Text,"13,02",,
Text,"3,5",,
Text,4.0,,
Text,"11,09",,
Text,"12,53",,
Text,"13,65",,
Text,"13,11",,
Text,"3,99",,
Text,"4,84",,
Text,"4,86",,
Text,"3,11",,
Text,"3,91",,
Text,"4,39",,
Text,"12,27",,
Text,"4,16",,
Text,"4,31",,
Text,"4,02",,
Text,"5,53",,
Text,"5,01",,
Text,"3,30",,
Text,"5,08",,
Text,"4,57",,
Text,"4,81",,
Text,"5,69",,
Text,"5,0",,
Text,"4,0",,
Text,"2,0",,
Text,"10,65",,
Text,"13,78",,
Text,"13,74",,
Text,"9,73",,
Text,"9,94",,
Text,"11,40",,
Text,"4,71",,
Text,"15,16",,
Text,"11,23",,
Text,"10,80",,
Text,"14,77",,
Text,"7,0",,
Text,"14,91",,
Text,"15,98",,
Text,"13,68",,
Text,"14,88",,
Text,"16,82",,
Text,"13,38",,
Text,"13,47",,
Text,"14,11",,
Text,"12,96",,
Text,"12,57",,
Text,"12,58",,
Text,"12,55",,
Text,"13,22",,
Text,"13,00",,
Text,"12,72",,
Text,"11,56",,
Text,"12,47",,
Text,"12,29",,
Text,"12,93",,
Text,"13,62",,
Text,"12,60",,
Text,"12,65",,
Text,"12,66",,
Text,"11,71",,
Text,"12,83",,
Text,"12,25",,
Text,"10,96",,
Text,"12,61",,
Text,"11,54",,
Text,"11,27",,
Text,"11,52",,
Text,"10,50",,
Text,"5,20",,
Text,"4,89",,
Text,"4,34",,
Text,"13,29",,
Text,"10,81",,
Text,"11,51",,
Text,"12,23",,
Text,"13,35",,
Text,"3,66",,
Text,"3,64",,
Text,"3,22",,
Text,"3,09",,
Text,"4,44",,
Text,"4,28",,
Text,"4,37",,
Text,"4,77",,
Text,"4,33",,
Text,"3,39",,
Text,"2,99",,
Text,"3,44",,
Text,"16,85",,
Text,"16,40",,
Text,"14,22",,
Text,"12,10",,
Text,"13,27",,
Text,"12,36",,
Text,"11,55",,
Text,"12,49",,
Text,"4,19",,
Text,"4,07",,
Text,"12,37",,
Text,"11,17",,
Text,"10,82",,
Text,"11,26",,
Text,"11,43",,
Text,"12,50",,
Text,"11,28",,
Text,"14,01",,
Text,"13,75",,
Text,"13,45",,
Text,"10,70",,
Text,"15,91",,
Text,"3,96",,
Text,"3,89",,
Text,"3,71",,
Text,"3,70",,
Text,"3,76",,
Text,"3,94",,
Text,"4,20",,
Text,"4,26",,
Text,"4,21",,
Text,"3,95",,
Text,"4,13",,
Text,"4,48",,
Text,"3,73",,
Text,"3,62",,
Text,"3,77",,
Text,"4,06",,
Text,"4,17",,
Text,"3,78",,
Text,"5,65",,
Text,"5,74",,
Text,"3,98",,
Text,"4,98",,
Text,"4,64",,
Text,"4,18",,
Text,"5,00",,
Text,"4,04",,
Text,"4,05",,
Text,"3,37",,
Text,"4,97",,
Text,"4,11",,
Text,"4,59",,
Text,"4,75",,
Text,"3,72",,
Text,"3,38",,
Text,"3,97",,
Text,"4,25",,
Text,"4,63",,
Text,"2,78",,
Text,"3,67",,
Text,"4,54",,
Text,"2,81",,
Text,"4,51",,
Text,"4,35",,
Text,"4,45",,
Text,"3,60",,
Text,"5,09",,
Text,"3,68",,
Text,"4,72",,
Text,"4,50",,
Text,"5,51",,
Text,"2,5",,
Text,"3,24",,
Text,"4,08",,
Text,13,,
Text,"13,43",,
Text,"12,35",,
Text,"12,41",,
Text,"12,42",,
Text,"12,94",,
Text,"11,57",,
Text,"11,00",,
Text,"11,60",,
Text,"13,49",,
Text,"15,05",,
Text,"12,82",,
Text,"15,03",,
Text,"14,90",,
Text,"14,82",,
Text,"13,89",,
Text,"10,83",,
Text,"13,44",,
Text,"4,32",,
Text,"3,92",,
Text,"3,79",,
Text,"3,65",,
Text,"3,88",,
Text,"4,43",,
Text,"4,40",,
Text,"3,69",,
Text,"4,15",,
Text,"4,00",,
Text,"5,19",,
Text,"3,93",,
Text,"4,69",,
Text,"4,10",,
Text,"3,52",,
Text,"4,42",,
Text,"3,75",,
Text,"4,73",,
Text,"4,24",,
Text,"4,92",,
Text,"4,70",,
Text,"3,57",,
Text,"3,74",,
Text,"3,59",,
Text,"5,16",,
Text,"4,66",,
Text,"4,60",,
Text,"4,61",,
Text,"14,80",,
Text,"5,27",,
Text,"5,22",,
Text,"4,74",,
Text,"13,88",,
Text,"14,81",,
Text,"14,73",,
Text,"5,80",,
Text,"5,11",,
Text,"5,64",,
Text,"14,79",,
Text,"1,0",,
Text,"1,2",,
Text,"1,5",,
Text,"0,5",,
Text,"4,91",,
Text,"5,10",,
Text,"5,17",,
Text,"4,88",,
Text,"4,55",,
Text,"4,53",,
Text,"5,18",,
Text,"5,35",,
Text,"4,49",,
Text,"4,79",,
Text,"4,56",,
Text,"4,52",,
Text,"14,09",,
Text,"15,32",,
Text,"16,01",,
Text,"4,03",,
Text,7.30,,
Text,"15,70",,
Text,"14,04",,
Text,"15,64",,
Text,"15,80",,
Text,7.90,,
Text,10.78,,
Text,"13,91",,
Text,"14,06",,
Text,"4,29",,
Text,"13,67",,
Text,"3,20",,
Text,"13,42",,
Text,"13,46",,
Text,"2,7",,
Text,"4,23",,
Text,"4,27",,
Text,"13,82",,
Text,"12,81",,
Text,"15,14",,
Text,"3,53",,
Text,"3,50",,
Text,"3,43",,
Text,"3,58",,
Text,"3,51",,
Text,"3,54",,
Text,"3,41",,
Text,"3,34",,
Text,"3,28",,
Text,"3,46",,
Text,"3,18",,
Text,"14,70",,
Text,"14,96",,
Text,"13,54",,
Text,"14,89",,
Text,"14,87",,
Text,"14,78",,
Text,"12,89",,
Text,"14,27",,
Text,"2,52",,
Text,"3,49",,
Text,"2,60",,
Text,"2,48",,
Text,"3,48",,
Text,"4,12",,
Text,"3,45",,
Text,"3,56",,
Text,"2,92",,
Text,"1,3",,
Text,"13,79",,
Text,"4,46",,
Text,"13,80",,
Text,"13,69",,
Text,"13,55",,
Text,"13,92",,
Text,"3,12",,
Text,"3,40",,
Text,"3,29",,
Text,"4,09",,
Text,"4,22",,
Text,"4,30",,
Text,"4,38",,
Text,"4,14",,
Text,"13,58",,
Text,"13,84",,
Text,"3,55",,
Text,"3,36",,
Text,"4,47",,
Text,"3,19",,
Text,"3,32",,
Text,"3,63",,
Text,"4,58",,
Text,"3,35",,
Text,"3,31",,
Text,"14,25",,
Text,"4,41",,
Text,"2,15",,
Text,"2,18",,
Text,"2,24",,
Text,6.33,,
Text,"6,2",,
Text,"1,49",,
Text,"2,75",,
Text,"2,37",,
Text,"2,34",,
Text,"3,21",,
Text,"5,2",,
Text,"5,6",,
Text,"5,9",,
Text,"6,6",,
Text,"6,1",,
Text,"3,06",,
Text,"6,4",,
Text,"7,5",,
Text,"2,91",,
Text,"1,36",,
Text,"9,0",,
Text,"2,8",,
Text,"2,2",,
Text,"8,0",,
Text,"14,24",,
Text,"15,34",,
Text,"13,83",,
Text,"4,4",,
Text,"13,72",,
Text,"14,48",,
Text,"14,32",,
Text,"14,85",,
Text,"3,16",,
Text,"2,23",,
ULink,"{'65': [{'size': 16, 'raw': ['0x1007', '0x0041', '0x0802', '0x0001', '0x000a', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0003', '0x0000'], 'type': 'ODBC'}]}",,
ULink,"{'65': [{'size': 16, 'raw': ['0x1007', '0x0041', '0x0802', '0x0001', '0x000a', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0008', '0x0000'], 'type': 'ODBC'}]}",,
ULink,"{'65': [{'size': 16, 'raw': ['0x1007', '0x0041', '0x0802', '0x0001', '0x000a', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x000d', '0x0000'], 'type': 'ODBC'}]}",,
ULink,"{'65': [{'size': 16, 'raw': ['0x1007', '0x0041', '0x0802', '0x0001', '0x000a', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0012', '0x0000'], 'type': 'ODBC'}]}",,
ULink,"{'65': [{'size': 16, 'raw': ['0x1007', '0x0041', '0x0802', '0x0001', '0x000a', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x001c', '0x0000'], 'type': 'ODBC'}]}",,
ULink,"{'65': [{'size': 16, 'raw': ['0x1007', '0x0041', '0x0802', '0x0001', '0x000a', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0021', '0x0000'], 'type': 'ODBC'}]}",,
ULink,"{'65': [{'size': 16, 'raw': ['0x1007', '0x0041', '0x0802', '0x0001', '0x000a', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0026', '0x0000'], 'type': 'ODBC'}]}",,
ULink,"{'65': [{'size': 16, 'raw': ['0x1007', '0x0041', '0x0802', '0x0001', '0x000a', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x002b', '0x0000'], 'type': 'ODBC'}]}",,
ULink,"{'65': [{'size': 16, 'raw': ['0x1007', '0x0041', '0x0802', '0x0001', '0x000a', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0030', '0x0000'], 'type': 'ODBC'}]}",,
ULink,"{'65': [{'size': 16, 'raw': ['0x1007', '0x0041', '0x0802', '0x0001', '0x000a', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0035', '0x0000'], 'type': 'ODBC'}]}",,
