original_field,original_value,translated_field,translated_value
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0028', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0018', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd7', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x40cd', '0x7356', '0xc08b', '0x7e20', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x001e', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd7', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x40cd', '0x7356', '0xc08b', '0x7e20', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0024', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd7', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x40cd', '0x7356', '0xc08b', '0x7e20', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x002a', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd7', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x40cd', '0x7356', '0xc08b', '0x7e20', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0030', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd7', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x40cd', '0x7356', '0xc08b', '0x7e20', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0017', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x001d', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0023', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0028', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x003a', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0040', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0046', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0059', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0017', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x002f', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0083', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0095', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'65': [{'size': 16, 'raw': ['0x1007', '0x0041', '0x0802', '0x0001', '0x0004', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x000b', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x005f', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0071', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0258', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x005f', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0065', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x006b', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'65': [{'size': 16, 'raw': ['0x1007', '0x0041', '0x0802', '0x0001', '0x000a', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x004c', '0x0000'], 'type': 'ODBC'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x006f', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0075', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x007b', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0081', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x02ca', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x00a9', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0017', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd7', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x40cd', '0x7356', '0xc08b', '0x7e20', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0023', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd7', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x40cd', '0x7356', '0xc08b', '0x7e20', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd9', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x40cd', '0x7356', '0xc08b', '0x7e20', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x3ae7', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd9', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x40cd', '0x7356', '0xc08b', '0x7e20', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x3adf', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '31225': [{'size': 32, 'raw': ['0x100f', '0x79f9', '0xffd7', '0xffff', '0x0021', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x40cd', '0x7356', '0xc08b', '0x7e20', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '31225': [{'size': 40, 'raw': ['0x1013', '0x79f9', '0xffd9', '0xffff', '0x0201', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0xffff', '0x7fff', '0x0000', '0x0000', '0xffff', '0x7fff', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x00b2', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x00b8', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'20905': [{'size': 32, 'raw': ['0x100f', '0x51a9', '0x000a', '0x6b56', '0x0000', '0x0000', '0xe7c1', '0xeba8', '0x19ab', '0xda4c', '0x0000', '0x0000', '0x0000', '0x0000', '0xe428', '0x0012'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x00be', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd7', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0028', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}, {'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
ULink,"{'0': [{'size': 8, 'raw': ['0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}], '32047': [{'size': 8, 'raw': ['0x1003', '0x7d2f', '0x0042', '0x0000'], 'type': 'ODBC'}], '31225': [{'size': 24, 'raw': ['0x100b', '0x79f9', '0xffd9', '0xffff', '0x0001', '0x0000', '0x4100', '0x0000', '0x0000', '0x0000', '0x0000', '0x0000'], 'type': 'unknown'}]}",,
