id,x,y,elevation
222,581216.357,2332896.751,8.43
223,581217.05,2332845.2199999997,7.54
224,581237.26,2332806.58,7.44
225,581255.336,2332791.067,7.44
226,581179.97,2332793.807,8.46
227,581178.158,2332756.7539999997,8.25
228,581219.58,2332735.06,7.33
229,581210.48,2332703.0,7.41
230,581248.078,2332721.897,7.3
231,581246.19,2332693.39,7.4
232,581251.24,2332633.67,7.23
233,581176.63,2332587.95,7.97
234,581197.68,2332560.62,7.93
235,581184.89,2332536.5,7.76
236,581229.85,2332552.3600000003,7.79
237,581249.22,2332609.21,7.41
238,581274.745,2332574.7879999997,7.45
239,581267.58,2332556.5700000003,7.42
240,581305.64,2332556.23,7.25
241,581335.95,2332568.89,7.39
242,581203.439,2332505.509,9.19
243,581239.85,2332488.0,9.54
244,581322.605,2332321.76,9.13
245,581246.95,2332314.17,8.18
246,581441.851,2332350.8030000003,8.91
247,581492.67,2332365.81,8.92
248,581512.529,2332386.074,9.45
249,581568.2609999999,2332307.301,9.38
250,581636.2,2332307.567,9.28
251,581657.86,2332337.92,10.56
252,581665.622,2332311.069,10.05
253,581670.272,2332273.682,9.65
254,581543.736,2332469.6780000003,8.75
255,581453.652,2332563.492,9.35
256,581579.662,2332607.579,9.39
257,581619.506,2332597.81,9.03
258,581632.162,2332566.91,13.12
259,581692.87,2332590.26,8.8
260,581646.24,2332636.17,6.87
261,581673.93,2332644.62,7.44
262,581730.58,2332616.25,8.09
263,581737.99,2332595.58,8.22
264,581708.926,2332558.692,8.4
265,581768.5700000001,2332579.04,7.85
266,581715.24,2332524.98,8.48
267,581744.76,2332533.99,8.13
268,581777.89,2332544.48,7.93
269,581745.8200000001,2332511.62,8.26
270,581777.25,2332510.77,8.37
271,581740.53,2332487.56,8.56
272,581771.85,2332486.29,8.07
273,581788.68,2332496.7800000003,8.33
274,581817.99,2332517.56,8.44
275,581849.53,2332538.34,8.25
276,581849.74,2332512.4699999997,8.04
277,581828.79,2332549.6799999997,8.16
278,581863.5,2332570.35,8.23
279,581898.95,2332531.23,8.54
280,581872.395,2332497.069,8.38
281,581826.78,2332469.12,8.34
282,581863.8200000001,2332481.73,8.25
283,581908.68,2332485.44,8.5
284,581800.53,2332470.0700000003,8.67
285,581781.59,2332450.7800000003,8.66
286,581883.29,2332476.3200000003,8.31
287,581939.09,2332497.654,8.24
288,581959.715,2332480.194,8.16
289,581942.02,2332472.62,8.23
290,581960.75,2332453.3200000003,9.54
291,581993.278,2332433.804,8.51
292,581844.318,2332426.449,2.67
293,581858.87,2332397.63,7.93
294,581912.74,2332390.71,7.99
295,581888.5700000001,2332377.7,8.21
296,581855.698,2332348.128,8.0
297,581908.73,2332357.23,8.24
298,581867.98,2332307.41,7.9
299,581486.67,2332277.441,9.41
300,581515.785,2332340.5470000003,9.13
301,581452.483,2332473.238,9.74
302,581609.73,2332498.09,9.01
303,581656.844,2332596.493,9.13
304,581678.84,2332615.39,8.81
305,581674.72,2332580.04,9.12
306,581817.56,2332577.56,7.84
307,581853.635,2332606.573,8.72
308,581902.5,2332574.75,8.1
309,581900.52,2332550.46,8.17
310,581879.335,2332621.0760000004,8.54
311,581934.8200000001,2332558.23,7.94
312,581970.818,2332525.656,7.46
313,581998.33,2332552.94,7.56
314,582072.38,2332535.4299999997,8.06
315,582060.66,2332564.99,7.96
316,582099.63,2332578.56,8.05
317,582121.6,2332600.71,8.48
318,582107.792,2332549.616,8.3
319,582139.746,2332592.149,8.45
320,582176.424,2332597.6670000004,8.19
321,582069.774,2332621.048,8.46
322,582076.14,2332597.38,8.09
323,582044.35,2332646.94,8.12
324,582057.144,2332678.558,8.52
325,582023.251,2332663.058,8.01
326,582026.2660000001,2332711.241,8.21
327,582059.769,2332736.7460000003,8.55
328,582012.7390000001,2332760.605,8.21
329,582058.17,2332772.3600000003,8.17
330,582023.546,2332739.2120000003,8.31
331,581983.96,2332757.96,8.02
332,581958.521,2332784.3030000003,8.09
333,582018.51,2332805.31,8.87
334,581922.05,2332795.34,8.05
335,581909.61,2332833.41,8.29
336,581869.601,2332806.844,8.03
337,581913.947,2332814.5360000003,8.26
338,581890.566,2332777.933,8.16
339,581824.995,2332823.63,8.0
340,581779.464,2332826.931,8.4
341,581838.86,2332891.41,8.75
342,581913.926,2332933.882,8.41
343,581908.78,2332896.51,8.62
344,582030.384,2332978.475,9.33
345,581905.357,2333077.935,8.58
346,581843.868,2333158.471,12.09
347,581784.05,2333145.44,9.68
348,581738.513,2333179.55,11.85
349,582041.69,2333200.29,14.21
350,582070.329,2333194.324,14.03
351,582124.528,2333211.87,12.64
352,582099.998,2333239.7199999997,13.01
353,582147.43,2333238.01,10.97
354,582224.61,2333263.91,12.2
355,581774.54,2333370.19,14.13
356,581578.97,2333386.9699999997,12.13
357,581576.48,2333272.7199999997,11.14
358,582173.39,2333165.06,13.64
359,582195.42,2333260.98,12.08
360,581631.13,2333206.742,10.11
361,581214.408,2333097.321,9.74
362,581291.35,2332939.06,8.46
363,581193.29,2332870.73,8.84
364,581363.13,2332825.71,9.59
365,581348.2,2332779.08,10.43
366,581875.583,2332986.505,8.63
367,581898.871,2333040.827,8.76
368,581863.31,2332965.25,8.53
369,581967.678,2333017.7180000003,8.61
370,582055.419,2332978.734,9.36
371,581913.05,2332996.05,8.7
372,581932.456,2332964.0779999997,8.33
373,581938.208,2333000.142,8.46
374,581973.43,2332981.92,8.29
375,581950.81,2332977.9699999997,8.34
376,581971.56,2332948.04,8.37
377,582002.4569999999,2333001.3109999998,8.64
378,581979.03,2332901.48,8.48
379,582015.55,2332950.95,8.97
380,582060.16,2332844.3200000003,8.54
381,581866.98,2332839.54,8.4
382,581867.4,2332735.41,8.34
383,581836.48,2332751.83,8.15
384,581722.15,2332783.84,8.26
385,581630.85,2332776.3600000003,9.98
386,581571.703,2332795.634,7.94
387,581558.232,2332818.14,8.03
388,581570.723,2332765.957,7.71
389,581602.22,2332724.19,7.37
390,581600.757,2332699.182,7.44
391,581638.12,2332720.8600000003,8.39
392,581675.88,2332717.74,8.37
393,581602.99,2332662.5039999997,7.3
394,581640.19,2332678.25,8.43
395,581678.1,2332684.375,8.4
396,581713.59,2332713.2120000003,8.51
397,581646.197,2332654.098,8.23
398,581774.65,2332611.12,7.97
399,581816.98,2332600.94,8.43
400,581967.83,2332619.2199999997,7.91
401,582013.27,2332587.63,7.97
402,582013.17,2332533.66,7.91
403,582099.49,2332625.13,8.7
404,582100.381,2332638.432,9.1
405,582126.507,2332623.52,8.7
406,582152.11,2332557.42,8.57
407,581633.75,2333351.54,9.77
408,581613.05,2333327.1799999997,9.6
409,581494.3,2333229.836,13.71
410,581265.455,2333263.191,10.05
411,581251.74,2333282.33,9.9
412,581317.621,2333252.188,10.78
413,581359.028,2333170.3260000004,9.99
414,581322.395,2333178.6610000003,9.87
415,581377.06,2333107.4299999997,9.63
416,581368.181,2333070.992,9.69
417,581219.328,2332938.899,8.99
418,581387.464,2332903.494,8.92
419,581373.51,2332871.85,8.61
420,581407.054,2332817.88,9.74
421,581331.31,2332842.6500000004,8.39
422,581311.026,2332848.645,7.83
423,581255.93,2332844.4299999997,8.05
424,581206.753,2332816.844,7.47
425,581248.979,2332828.256,7.64
426,581261.56,2332776.01,7.34
427,581212.76,2332764.7199999997,7.32
428,581238.21,2332744.55,7.41
429,581364.145,2332799.642,9.72
430,581342.94,2332800.115,8.3
431,581382.86,2332792.31,9.08
432,581375.032,2332693.619,11.34
433,581399.373,2332685.024,11.37
434,581328.05,2332642.398,7.25
435,581374.025,2332674.6550000003,7.22
436,581238.69,2332583.2,7.35
437,581220.379,2332503.5779999997,7.54
438,581308.12,2332473.8,9.91
439,581452.052,2332786.277,10.12
440,581477.25,2332752.14,8.15
441,581508.34,2332743.26,8.0
442,581674.5700000001,2332699.21,8.5
443,581730.313,2332738.5700000003,8.35
444,581815.19,2332663.88,8.45
445,581839.978,2332691.944,8.1
446,581807.62,2332694.21,8.23
447,581778.15,2332697.76,8.38
448,581772.421,2332652.512,8.15
449,581996.73,2332694.85,7.99
450,581955.65,2332674.69,7.75
451,582010.74,2332629.02,7.95
452,582052.14,2332625.96,7.98
453,582069.05,2332657.42,8.71
454,582093.825,2332662.6969999997,8.7
455,582140.17,2332519.366,8.5
456,582085.16,2332503.33,10.9
457,582055.04,2332474.29,10.29
458,582050.37,2332499.7800000003,9.97
459,582103.06,2332427.179,7.9
460,582115.915,2332464.881,8.33
461,582031.68,2332450.73,9.86
462,581500.479,2333167.776,10.22
463,581563.2,2333108.83,9.23
464,581546.711,2333072.374,9.28
465,581657.565,2333027.671,8.85
466,581540.768,2332987.403,9.23
467,581798.023,2333100.484,9.53
468,581758.466,2333084.2120000003,9.1
469,581910.683,2333143.999,11.88
470,581974.83,2333111.12,10.08
471,581962.0,2333072.1500000004,9.12
472,582014.837,2333021.9560000002,8.9
473,582160.199,2333057.1440000003,9.15
474,581664.705,2332939.49,8.78
475,581622.238,2332968.247,8.9
476,581643.212,2332938.99,8.84
477,581777.185,2332956.7630000003,8.42
478,581639.598,2332851.673,8.67
479,581395.874,2333167.241,9.9
480,581585.93,2333208.73,11.25
481,581664.018,2333145.5530000003,9.25
482,581884.34,2333125.3600000003,9.71
483,582235.752,2332285.389,8.48
484,581949.37,2332287.35,7.97
485,581970.483,2332283.5549999997,7.96
486,581856.43,2332277.45,7.78
487,581891.37,2332274.7,8.48
488,581170.148,2333328.7,14.17
489,581213.661,2333317.216,12.69
490,581281.963,2333303.8219999997,14.13
491,581253.486,2333307.251,12.56
492,581331.421,2333288.308,14.13
493,581368.363,2333283.824,14.1
494,581415.805,2333277.7800000003,13.51
495,581408.1,2333378.01,11.46
496,581347.65,2333374.6100000003,12.04
497,581414.67,2333350.5700000003,10.86
498,581515.768,2333250.8279999997,14.03
499,581552.385,2333238.4620000003,14.08
500,581527.09,2333235.833,14.0
501,581432.805,2333211.33,10.87
502,581422.299,2333170.255,10.17
503,581474.938,2333173.634,11.86
504,581620.5970000001,2333230.577,14.14
505,581664.008,2333224.5300000003,14.2
506,581685.171,2333208.7879999997,14.07
507,581707.926,2333211.408,14.12
508,581763.191,2333190.662,14.18
509,581827.995,2333185.3260000004,14.12
510,581889.973,2333171.944,14.18
511,581856.919,2333170.2139999997,14.15
512,581910.482,2333167.238,14.21
513,581958.881,2333148.3940000003,14.23
514,582002.404,2333147.4560000002,14.17
515,582118.26,2333139.0020000003,14.42
516,582095.593,2333130.94,14.39
517,582153.563,2333138.8430000003,14.46
518,582228.549,2333130.084,14.45
519,582072.11,2333099.5300000003,11.16
520,582109.9720000001,2333098.039,10.29
521,582084.474,2333035.493,9.3
522,581789.84,2333019.49,8.95
523,581632.184,2333057.671,8.88
524,581624.119,2332997.886,8.77
525,581522.012,2333018.193,8.88
526,581423.578,2333035.082,10.0
527,581419.839,2332963.972,9.53
528,581484.586,2332978.7369999997,9.75
529,581454.528,2332991.0209999997,9.71
530,581451.4720000001,2332959.444,9.66
531,581491.732,2332925.009,9.54
532,581417.256,2332919.276,9.41
533,581450.21,2332888.4000000004,9.6
534,581514.248,2332887.8219999997,9.12
535,581342.825,2332881.798,8.24
536,581445.571,2332831.4450000003,9.48
537,581408.585,2332793.609,10.53
538,581391.577,2332769.037,10.71
539,581565.913,2332731.264,8.46
540,581582.474,2332678.433,8.66
541,581559.48,2332626.562,9.11
542,581502.718,2332649.723,8.46
543,581642.42,2332609.46,9.43
544,581667.346,2332555.2199999997,9.14
545,581619.2069999999,2332558.431,16.66
546,581629.317,2332487.933,14.83
547,581687.24,2332499.02,9.05
548,581656.106,2332447.27,13.19
549,581687.634,2332428.376,9.21
550,581675.833,2332391.925,11.83
551,581734.4450000001,2332389.7539999997,9.03
552,581756.741,2332337.5420000004,9.14
553,581821.008,2332310.418,9.44
554,581690.708,2332342.355,10.33
555,581709.023,2332285.7309999997,9.72
556,581372.463,2332373.084,9.52
557,581403.216,2332297.3030000003,9.36
558,581285.62,2332378.1500000004,9.47
559,581196.42,2332384.27,9.45
560,581398.172,2332735.8109999998,11.24
561,581397.133,2332551.9639999997,9.56
562,581431.333,2332561.741,9.33
563,581458.09,2332619.944,9.69
564,581393.921,2332508.557,9.5
565,581415.882,2332457.114,9.28
566,581410.0700000001,2332402.778,9.37
567,581718.94,2332675.94,8.58
568,581747.017,2332653.62,8.44
569,581732.544,2332704.9340000004,8.49
570,581667.93,2332730.54,7.61
571,581892.23,2332748.34,8.17
572,581846.35,2332664.01,8.39
573,582030.11,2332543.98,8.06
574,581405.602,2333411.126,11.46
575,581515.77,2333358.38,11.5
576,581479.741,2333311.2800000003,11.12
577,581693.85,2333373.84,10.28
578,581758.59,2333388.67,15.01
579,582204.86,2333415.62,8.07
580,582168.29,2333084.708,9.77
581,581839.949,2332958.884,8.82
582,581885.12,2332928.62,8.5
583,581823.155,2332916.847,8.74
584,581704.992,2332964.853,8.37
585,581581.546,2332964.219,8.67
586,581555.013,2332895.7539999997,8.75
587,581629.35,2332816.87,8.38
588,581656.483,2332793.366,8.79
589,581775.841,2332769.389,8.7
590,581812.051,2332756.492,8.27
591,581858.789,2332788.634,7.75
592,581867.77,2332820.49,8.01
593,581945.436,2332753.1380000003,8.22
594,581980.9,2332706.55,8.22
595,581940.9,2332704.27,8.04
596,581962.29,2332641.9299999997,8.13
597,581992.594,2332660.1969999997,8.09
598,581979.26,2332593.59,7.73
599,582244.62,2332672.77,8.04
600,582162.23,2332674.9299999997,7.83
601,582127.38,2332499.66,8.38
602,582089.69,2332446.45,9.06
603,582134.868,2332430.777,8.41
604,582174.557,2332410.833,9.24
605,582188.27,2332345.85,8.39
606,581831.37,2332398.24,7.98
607,581728.639,2332463.74,8.02
608,581618.69,2332394.4299999997,9.24
609,581562.786,2332371.984,9.41
610,581263.54,2332414.0300000003,9.61
611,581290.356,2332447.7010000004,9.61
612,581421.394,2333221.998,11.05
613,581908.537,2332708.995,7.65
614,582244.62,2332672.77,8.04
615,581218.496,2333210.8,10.67
616,581358.304,2333254.799,9.87
617,581639.308,2332907.327,8.67
618,581428.699,2332598.279,9.57
619,581431.356,2332648.533,10.48
620,581419.696,2332529.732,9.32
621,581669.788,2332361.747,10.43
622,581556.441,2332276.8389999997,9.44
623,582204.229,2332296.778,8.66
624,582191.538,2332454.707,8.64
625,582129.654,2332469.8370000003,8.18
626,582199.485,2332492.029,8.11
627,582106.939,2332735.815,8.67
628,582103.616,2332771.4220000003,8.99
629,582094.608,2332822.545,9.17
630,582078.522,2332879.202,9.12
631,582087.615,2332952.402,9.22
632,582081.587,2333010.935,9.35
633,582061.937,2333057.723,9.55
634,582069.855,2333115.194,14.18
635,581865.45,2333103.5470000003,9.17
636,581596.414,2333220.7630000003,11.64
637,581594.534,2332920.7199999997,8.55
638,581445.633,2332848.4790000003,8.65
639,581716.59,2332812.175,8.05
640,581709.612,2333012.533,8.58
641,581803.9180000001,2332918.844,8.47
642,581794.468,2332884.23,8.49
643,581807.59,2332981.2139999997,8.87
644,582013.27,2333327.031,13.4
645,582066.563,2333264.057,13.97
646,581309.456,2333314.567,13.06
647,581244.791,2333132.458,9.99
648,581404.696,2332329.387,9.31
649,581628.44,2332419.807,9.27
650,581513.103,2332499.41,8.77
651,581480.327,2332321.842,8.91
652,581505.662,2332529.747,9.06
653,581942.19,2332836.202,8.58
654,582213.58,2333233.25,11.78
655,581420.794,2333241.215,12.18
656,582221.755,2333153.8219999997,13.36
657,581423.319,2333006.188,9.7
658,581287.296,2332893.574,8.27
659,581473.034,2333270.086,13.71
660,581528.0,2333268.067,13.09
661,581364.208,2333230.299,10.64
662,581422.528,2333130.476,10.19
663,581383.657,2333012.191,9.05
664,581412.81,2332866.912,9.3
665,581401.065,2332704.251,11.67
666,581433.885,2332691.182,11.47
667,581605.862,2333168.253,9.39
668,581618.968,2333101.783,9.03
669,581618.2609999999,2333064.4299999997,8.95
670,581480.97,2333045.134,9.48
671,582125.013,2333014.234,9.2
672,581709.971,2332900.5130000003,8.51
673,581435.198,2333275.443,13.5
674,581386.65,2333280.732,12.69
675,581305.462,2333294.4000000004,12.68
676,581463.698,2333130.855,10.44
677,581475.594,2333070.599,9.79
678,581363.869,2333120.386,9.62
679,582043.513,2333131.787,14.36
680,582229.52,2333177.1550000003,12.31
681,582222.496,2333196.666,12.11
682,581688.684,2333053.745,8.88
683,581520.291,2332835.8770000003,8.53
684,581388.983,2332613.259,10.13
685,581733.04,2332799.591,8.3
686,581793.836,2332931.554,8.52
687,581721.052,2332953.472,8.56
688,581641.967,2332914.8140000002,8.54
689,581593.679,2332900.196,8.48
690,581603.825,2332890.4529999997,8.41
691,581646.135,2332864.906,8.69
692,581803.586,2332786.622,8.29
693,581853.11,2332864.516,8.18
694,581865.285,2332854.799,8.2
695,581899.376,2332846.914,8.25
696,582025.316,2332817.54,8.65
697,581982.553,2332827.118,8.57
698,581660.842,2333005.23,8.73
699,581612.728,2333008.4299999997,8.72
700,581573.7,2333012.673,8.83
701,581603.335,2333056.492,8.79
702,581683.617,2333098.702,9.06
703,581619.493,2333108.605,9.11
704,581471.613,2333091.3710000003,9.9
705,581472.993,2333161.153,11.44
706,581484.178,2333194.88,11.77
707,581555.022,2333216.3559999997,12.75
708,581699.5,2333193.2939999998,12.34
709,581823.507,2333163.5590000004,11.91
710,581801.824,2333168.119,11.74
711,581875.015,2333152.38,11.77
712,581549.0160000001,2333376.1629999997,11.44
713,581179.81,2333320.848,12.99
714,581292.696,2333259.5609999998,10.59
715,581271.713,2333249.4359999998,10.28
716,581243.187,2333185.9510000004,10.23
717,581229.09,2333055.634,9.27
718,581228.152,2333019.3260000004,9.04
719,581207.896,2332978.1780000003,8.85
720,581193.1140000001,2332912.1969999997,8.41
721,581222.74,2332905.946,8.51
722,581329.976,2332974.024,8.67
723,581314.156,2332968.226,8.63
724,581309.443,2332888.141,8.18
725,581414.4180000001,2332436.34,9.3
726,581520.771,2332442.6380000003,9.03
727,581534.228,2332502.972,8.39
728,581554.041,2332524.687,8.37
729,581574.096,2332554.124,8.74
730,581576.091,2332578.1380000003,9.05
731,581514.178,2332518.098,8.83
732,581868.683,2332892.9869999997,8.0
733,582063.952,2333041.875,9.54
734,582071.225,2333067.9850000003,9.6
735,582122.517,2333052.364,9.25
736,582225.655,2333078.0760000004,9.3
737,581994.084,2333063.08,9.23
738,581947.546,2333072.21,9.08
739,581927.909,2333053.032,9.19
740,581845.84,2333049.416,9.05
741,581799.899,2333071.7,9.17
742,581793.7220000001,2333035.992,9.03
743,581600.737,2332833.691,8.24
744,582177.157,2332442.7010000004,7.61
745,581407.005,2333211.333,10.62
746,581189.101,2332975.56,8.84
747,581483.917,2333027.484,9.66
748,581718.362,2332821.0360000003,7.94
749,581324.467,2333024.472,9.62
750,581835.13,2333117.211,9.53
751,581702.292,2332546.8140000002,8.59
752,582242.575,2333032.777,8.92
753,581366.576,2332637.508,10.09
754,581366.204,2332609.941,10.15
755,581374.956,2332719.194,7.48
756,581647.166,2332362.952,9.21
757,582263.4,2332381.49,9.58
758,582266.158,2332643.324,8.52
759,582257.0160000001,2332722.427,8.49
760,582268.65,2332751.33,8.67
761,582265.66,2332830.648,8.82
762,582258.79,2332812.2199999997,8.84
763,582255.758,2332968.091,9.14
764,582256.17,2333090.2800000003,9.63
765,582285.12,2333402.31,9.84
766,582321.92,2333407.73,8.76
767,582338.506,2333389.145,9.9
768,582312.66,2333354.1,10.28
769,582274.43,2333359.651,11.08
770,582381.89,2333344.5700000003,9.7
771,582348.8640000001,2333297.554,10.6
772,582314.962,2333317.603,10.85
773,582396.73,2333185.39,13.32
774,582339.174,2333191.276,13.24
775,582318.55,2333178.0300000003,13.03
776,582296.432,2333156.995,13.3
777,582330.997,2333149.84,13.96
778,582411.304,2333125.1629999997,14.1
779,582429.204,2333149.383,14.39
780,582524.0430000001,2333183.092,12.71
781,582462.797,2333297.875,10.79
